Designator,Mid X,Mid Y,Rotation,Layer
C1,18.288431,54.516868,40.0,top
C2,-19.461569,55.846868,138.0,top
C3,-18.471569,-55.403132,220.0,top
C4,18.777853,-55.017156,320.0,top
J1,-14.116569,-71.923132,90.0,bottom
J2,74.118431,-11.233132,90.0,bottom
J3,21.408431,-64.398132,0.0,top
J4,7.077484,26.320469,140.0,bottom
J5,-8.921569,27.086868,220.0,bottom
J6,-7.721569,-26.993132,319.0,bottom
J7,7.008765,-25.822718,41.0,bottom
Q1,10.375867,48.292956,220.0,top
Q2,-16.782118,43.113763,138.0,top
Q3,-11.734583,-47.683541,41.0,top
Q4,12.638431,-46.693132,319.0,top
R1,14.258431,-76.823132,180.0,top
SW1,17.828431,-79.613132,0.0,top
U1,18.828116,36.033078,310.0,top
U2,-25.19053,31.994802,228.0,top
U3,-20.366564,-35.266082,130.5,top
U4,20.763664,-34.783389,49.5,top
U5,0.0,-67.85,180.0,top
